game_id,game_date,event_index,player_id,team,shot_distance,shot_angle,shot_type,strength_state,is_powerplay,is_rebound,seconds_since_last_event,is_empty_net,score_differential,period,x_coord,y_coord,prior_event_type,prior_event_distance,is_goal
2025020991,2026-03-07,192,8482157,NYR,19.1,6.01,slap,5v5,0,0,0,0,0,2,70,2,takeaway,54.2,1
2025020991,2026-03-07,198,8478882,NYR,44.6,47.73,slap,5v5,0,0,0,0,0,2,59,33,blocked-shot,52.17,0
2025020991,2026-03-07,201,8482110,NJD,9.85,66.04,tip-in,5v5,0,0,0,0,0,2,85,9,faceoff,72.42,0
2025020991,2026-03-07,213,8477839,NYR,41.18,29.05,wrist,5v5,0,0,0,0,0,3,53,-20,faceoff,29.73,0
2025020991,2026-03-07,218,8484210,NYR,9.9,45.0,wrist,5v4,1,0,0,0,0,3,82,7,faceoff,29.73,0
2025020991,2026-03-07,219,8482110,NJD,26.17,83.42,wrist,4v5,0,1,0,0,0,3,86,26,shot-on-goal,9.9,0
2025020991,2026-03-07,220,8479323,NYR,62.03,20.77,wrist,5v4,1,1,0,0,0,3,31,-22,shot-on-goal,26.17,0
2025020991,2026-03-07,223,8477015,NJD,38.47,8.97,wrist,4v5,0,0,0,0,0,3,51,-6,faceoff,29.73,0
2025020991,2026-03-07,225,8476462,NJD,22.47,32.28,wrist,4v5,0,0,0,0,0,3,70,-12,blocked-shot,6.71,0
2025020991,2026-03-07,228,8483495,NJD,33.42,51.07,snap,5v5,0,0,0,0,0,3,68,-26,faceoff,29.73,0
2025020991,2026-03-07,235,8478399,NJD,63.41,37.95,wrist,5v5,0,0,0,0,0,3,39,39,faceoff,72.42,0
2025020991,2026-03-07,238,8482110,NJD,42.11,4.09,wrist,5v5,0,0,0,0,0,3,47,3,blocked-shot,59.03,0
2025020991,2026-03-07,239,8480192,NJD,52.48,30.96,wrist,5v5,0,1,0,0,0,3,44,-27,missed-shot,42.11,0
2025020991,2026-03-07,241,8482684,NJD,43.68,15.95,wrist,5v5,0,0,0,0,0,3,47,12,hit,53.74,0
2025020991,2026-03-07,245,8481559,NJD,20.52,46.97,wrist,5v4,1,0,0,0,0,3,75,-15,faceoff,29.73,0
2025020991,2026-03-07,247,8479407,NJD,52.92,22.2,wrist,5v4,1,0,0,0,0,3,40,-20,blocked-shot,38.63,0
2025020991,2026-03-07,248,8480002,NJD,20.0,0.0,wrist,5v4,1,1,0,0,1,3,69,0,shot-on-goal,52.92,1
2025020991,2026-03-07,250,8484177,NJD,33.11,64.98,wrist,5v5,0,0,0,0,0,3,75,-30,faceoff,89.0,0
2025020991,2026-03-07,260,8482109,NYR,21.95,59.93,backhand,5v5,0,0,0,0,0,3,78,-19,giveaway,37.2,0
2025020991,2026-03-07,262,8482109,NYR,29.61,11.69,snap,5v5,0,0,0,0,0,3,60,6,giveaway,54.67,0
2025020991,2026-03-07,267,8479323,NYR,49.5,8.13,wrist,5v4,1,0,0,0,0,3,40,-7,faceoff,29.73,0
2025020991,2026-03-07,268,8476459,NYR,41.01,45.0,slap,5v4,1,1,0,0,0,3,60,29,missed-shot,49.5,0
2025020991,2026-03-07,272,8481721,NJD,43.93,48.69,wrist,5v5,0,0,0,0,0,3,60,33,blocked-shot,27.59,0
